# utcTimestamp,ObsNumber
# TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1766671527.236,40
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,32,0.0,16399,396330512848737,2,43.4,-249.71287536621094,0.3605000078678131,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,5,-58.58,36.4,-480.1813659667969,10142.931640625,0.0,0.0,P,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,36,0.0,16399,396330504179805,8,29.4,279.8458557128906,0.8374999761581421,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,5,-58.58,22.4,-480.1813659667969,10142.931640625,0.0,0.0,P,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,38,0.0,16399,396330467881331,2,44.5,-52.207069396972656,0.3330000042915344,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,5,-58.58,37.5,-480.1813659667969,10142.931640625,0.0,0.0,P,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,40,0.0,16399,396330467772541,3,40.3,-33.84373092651367,0.4129999876022339,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,5,-58.58,33.3,-480.1813659667969,10142.931640625,0.0,0.0,P,966987116400
1022938000000,18,0.0,-1450705721649838461,0.5843982696533203,97.36940410220996,4.322279309627232,10.696468523539144,4,41,0.0,16399,396330506826415,5,34.7,359.322021484375,0.5644999742507935,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,5,-58.58,27.700000000000003,-480.1813659667969,10142.931640625,0.0,0.0,P,966987116400
1766671528.952,54
1024778000000,18,0.0,-1450705721649838409,0.5596485137939453,121.64714280515909,-3.9063357852328235,12.601415681661297,4,4,0.0,16399,396346346113647,10,37.9,205.353515625,0.04039910435676575,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,1,-60.15,34.3,0.0,0.0,0.0,0.0,C,968824459316
1024778000000,18,0.0,-1450705721649838409,0.5596485137939453,121.64714280515909,-3.9063357852328235,12.601415681661297,4,5,0.0,16399,396346348250582,24,29.4,-639.57421875,1.2492653131484985,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,1,-60.15,25.799999999999997,0.0,0.0,0.0,0.0,C,968824459316
1024778000000,18,0.0,-1450705721649838409,0.5596485137939453,121.64714280515909,-3.9063357852328235,12.601415681661297,4,6,0.0,16399,396346356458118,17,32.1,149.25685119628906,0.47450000047683716,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,1,-60.15,28.5,0.0,0.0,0.0,0.0,C,968824459316
1024778000000,18,0.0,-1450705721649838409,0.5596485137939453,121.64714280515909,-3.9063357852328235,12.601415681661297,4,9,0.0,16399,396346352617336,5,50.3,-84.53872680664062,0.027003321796655655,16,0.0,0.0,1.57542003E9,0.0,0.0,0.0,0,0.0,1,-60.15,46.699999999999996,0.0,0.0,0.0,0.0,C,968824459316
